hn_id,title,original_url,resolved_url,owner,repo,path_type,valid,valid_reason
45003420,Show HN: Clearcam – Add AI object detection to your IP CCTV cameras,https://github.com/roryclear/clearcam,https://github.com/roryclear/clearcam,roryclear,clearcam,repo,,
45003358,Show HN: CasCache – multi-generational cache with optimistic concurrency control,https://github.com/unkn0wn-root/cascache,https://github.com/unkn0wn-root/cascache,unkn0wn-root,cascache,repo,,
45001979,Seed: Interactive software environment based on Common Lisp,https://github.com/phantomics/seed,https://github.com/phantomics/seed,phantomics,seed,repo,,
45001466,A lightweight TypeScript library for assertion-based runtime data validation,https://github.com/nimeshnayaju/decode-kit,https://github.com/nimeshnayaju/decode-kit,nimeshnayaju,decode-kit,repo,,
45001371,ThinkMesh: A Python lib for parallel thinking in LLMs,https://github.com/martianlantern/ThinkMesh,https://github.com/martianlantern/ThinkMesh,martianlantern,thinkmesh,repo,,
45000982,Show HN: Port Kill – A lightweight macOS status bar development port monitor,https://github.com/kagehq/port-kill,https://github.com/kagehq/port-kill,kagehq,port-kill,repo,,
45000400,DeepCode: Open Agentic Coding,https://github.com/HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,hkuds,deepcode,repo,,
44998316,Optimizing FizzBuzz in Rust,https://github.com/nrposner/fizzcrate,https://github.com/nrposner/fizzcrate,nrposner,fizzcrate,repo,,
44995189,"Show HN: Create and share animated, interactive wallpapers with HTML/CSS/JS",https://github.com/underpig1/octos,https://github.com/underpig1/octos,underpig1,octos,repo,,
44995147,"LunarEngine: An open source, Roblox-compatible game engine",https://github.com/lunarengine/lunar-test,https://github.com/lunarengine/lunar-test,lunarengine,lunar-test,repo,,
44994535,SpaCy: Industrial-Strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,explosion,spacy,repo,,
44994071,Manim: Animation engine for explanatory math videos,https://github.com/3b1b/manim,https://github.com/3b1b/manim,3b1b,manim,repo,,
44993874,DeepCode: Open Agentic Coding,https://github.com/HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,hkuds,deepcode,repo,,
44993761,"Show HN: OctaneDB – Fast, Open-Source Vector Database for Python",https://github.com/RijinRaju/octanedb,https://github.com/RijinRaju/octanedb,rijinraju,octanedb,repo,,
44993297,Show HN: AgentState – Lightweight state manager for multi-agent AI workflows,https://github.com/ayushmi/agentstate,https://github.com/ayushmi/agentstate,ayushmi,agentstate,repo,,
44990680,Glyn: Type-safe PubSub and Registry for Gleam actors with distributed clustering,https://github.com/mbuhot/glyn,https://github.com/mbuhot/glyn,mbuhot,glyn,repo,,
44988529,"Show HN: Any-LLM chat demo – switch between ChatGPT, Claude, Ollama, in one chat",https://github.com/mozilla-ai/any-llm/tree/main/demos/chat,https://github.com/mozilla-ai/any-llm/tree/main/demos/chat,mozilla-ai,any-llm,tree,,
44988271,Show HN: JavaScript-free (X)HTML Includes,https://github.com/Evidlo/xsl-website,https://github.com/Evidlo/xsl-website,evidlo,xsl-website,repo,,
44987552,Should the web platform adopt XSLT 3.0?,https://github.com/whatwg/html/issues/11578,https://github.com/whatwg/html/issues/11578,whatwg,html,issues,,
44987346,XSLT removal will break multiple government and regulatory sites,https://github.com/whatwg/html/issues/11582,https://github.com/whatwg/html/issues/11582,whatwg,html,issues,,
44987221,"Show HN: BrowserOS -- browser agents with GPT-OSS, local llms",https://github.com/browseros-ai/BrowserOS,https://github.com/browseros-ai/BrowserOS,browseros-ai,browseros,repo,,
44986914,Bubbletea-rs: a Rust implementation of Bubbletea,https://github.com/whit3rabbit/bubbletea-rs,https://github.com/whit3rabbit/bubbletea-rs,whit3rabbit,bubbletea-rs,repo,,
44986205,Show HN: Clyp – Clipboard Manager for Linux,https://github.com/murat-cileli/clyp,https://github.com/murat-cileli/clyp,murat-cileli,clyp,repo,,
44985058,Show HN: Lacquer – GitHub Actions for AI workflows in a single Go binary,https://github.com/lacquerai/lacquer,https://github.com/lacquerai/lacquer,lacquerai,lacquer,repo,,
44984675,Show HN: AIMless – a 10 KB single file P2P chat app with zero dependencies,https://github.com/ImZackAdams/AIMless,https://github.com/ImZackAdams/AIMless,imzackadams,aimless,repo,,
44983835,Electrical Grid Mapping,https://github.com/open-energy-transition/Awesome-Electrical-Grid-Mapping,https://github.com/open-energy-transition/Awesome-Electrical-Grid-Mapping,open-energy-transition,awesome-electrical-grid-mapping,repo,,
44982748,"Fmllm: 4mb training data, 100mb model, Fibonacci embeddings, near-coherent. WTF?",https://github.com/henrygabriels/FMLLM/blob/main/README.md,https://github.com/henrygabriels/FMLLM/blob/main/README.md,henrygabriels,fmllm,blob,,
44981989,Show HN: FeOx – Fast embedded KV store in Rust,https://github.com/mehrantsi/FeOxDB,https://github.com/mehrantsi/FeOxDB,mehrantsi,feoxdb,repo,,
44980042,OS Yamato lets your data fade away,https://github.com/osyamato/os-yamato,https://github.com/osyamato/os-yamato,osyamato,os-yamato,repo,,
44976568,AI tooling must be disclosed for contributions,https://github.com/ghostty-org/ghostty/pull/8289,https://github.com/ghostty-org/ghostty/pull/8289,ghostty-org,ghostty,pull,,
44975562,Show HN: mcpd – manage MCP servers with a single config file,https://github.com/mozilla-ai/mcpd,https://github.com/mozilla-ai/mcpd,mozilla-ai,mcpd,repo,,
44972255,Show HN: Claudable – OpenSource Lovable that runs locally with Claude Code,https://github.com/opactorai/Claudable,https://github.com/opactorai/Claudable,opactorai,claudable,repo,,
44969622,Show HN: I replaced vector databases with Git for AI memory (PoC),https://github.com/Growth-Kinetics/DiffMem,https://github.com/Growth-Kinetics/DiffMem,growth-kinetics,diffmem,repo,,
44967505,SimpleIDE,https://github.com/jamesplotts/simpleide,https://github.com/jamesplotts/simpleide,jamesplotts,simpleide,repo,,
44966940,Render any Git repo into a single static HTML page for humans or LLMs,https://github.com/karpathy/rendergit,https://github.com/karpathy/rendergit,karpathy,rendergit,repo,,
44966170,Show HN: PlutoPrint – Generate PDFs and PNGs from HTML with Python,https://github.com/plutoprint/plutoprint,https://github.com/plutoprint/plutoprint,plutoprint,plutoprint,repo,,
44965229,Qclojure: Functional quantum computer programming library for Clojure,https://github.com/lsolbach/qclojure,https://github.com/lsolbach/qclojure,lsolbach,qclojure,repo,,
44964916,Zedless: Zed fork focused on privacy and being local-first,https://github.com/zedless-editor/zed,https://github.com/zedless-editor/zed,zedless-editor,zed,repo,,
44964332,Show HN: Bizcardz.ai – Custom metal business cards,https://github.com/rhodey/bizcardz.ai,https://github.com/rhodey/bizcardz.ai,rhodey,bizcardz.ai,repo,,
44963724,An Update on Pytype,https://github.com/google/pytype,https://github.com/google/pytype,google,pytype,repo,,
44963324,Show HN: Okapi – a metrics engine based on open data formats,https://github.com/okapi-core/okapi,https://github.com/okapi-core/okapi,okapi-core,okapi,repo,,
44963135,"Show HN: Luminal – Open-source, search-based GPU compiler",https://github.com/luminal-ai/luminal,https://github.com/luminal-ai/luminal,luminal-ai,luminal,repo,,
44962059,Gemma 3 270M re-implemented in pure PyTorch for local tinkering,https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3,https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3,rasbt,llms-from-scratch,tree,,
44961890,Show HN: Web MCP Free Tier – Web Access for Agents Without Getting Blocked,https://github.com/brightdata/brightdata-mcp,https://github.com/brightdata/brightdata-mcp,brightdata,brightdata-mcp,repo,,
44960594,Show HN: Project management system for Claude Code,https://github.com/automazeio/ccpm,https://github.com/automazeio/ccpm,automazeio,ccpm,repo,,
44958543,Show HN: Hanaco Weather – A poetic weather SNS from the OS Yamato project,https://github.com/osyamato/os-yamato,https://github.com/osyamato/os-yamato,osyamato,os-yamato,repo,,
44957291,Show HN: Rucat – Cat for Prompt Engineers,https://github.com/brianredbeard/rucat,https://github.com/brianredbeard/rucat,brianredbeard,rucat,repo,,
44956899,AI tooling must be disclosed for contributions,https://github.com/ghostty-org/ghostty/pull/8289,https://github.com/ghostty-org/ghostty/pull/8289,ghostty-org,ghostty,pull,,
44956002,"Docker container for running Claude Code in ""dangerously skip permissions"" mode",https://github.com/tintinweb/claude-code-container,https://github.com/tintinweb/claude-code-container,tintinweb,claude-code-container,repo,,
44955576,Show HN: OpenAI/reflect – Physical AI Assistant that illuminates your life,https://github.com/openai/openai-reflect,https://github.com/openai/openai-reflect,openai,openai-reflect,repo,,
44955424,Show HN: Lemonade: Run LLMs Locally with GPU and NPU Acceleration,https://github.com/lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,lemonade-sdk,lemonade,repo,,
44955159,ArduinoOS (2017),https://github.com/DrBubble/ArduinoOS,https://github.com/DrBubble/ArduinoOS,drbubble,arduinoos,repo,,
44953615,"Show HN: Tambo Add A Cursor style assistant for React apps (OSS, self-hosted)",https://github.com/tambo-ai/tambo,https://github.com/tambo-ai/tambo,tambo-ai,tambo,repo,,
44953395,Show HN: Built a memory layer that stops AI agents from forgetting everything,https://github.com/pi22by7/In-Memoria,https://github.com/pi22by7/In-Memoria,pi22by7,in-memoria,repo,,
44952185,"""Remove mentions of XSLT from the html spec""",https://github.com/whatwg/html/pull/11563,https://github.com/whatwg/html/pull/11563,whatwg,html,pull,,
44951200,Show HN: I've made an easy to extend and flexible JavaScript logger,https://github.com/inshinrei/halua,https://github.com/inshinrei/halua,inshinrei,halua,repo,,
44949617,Intel 80286 emulator for Raspberry Pico,https://github.com/xrip/pico-286,https://github.com/xrip/pico-286,xrip,pico-286,repo,,
44946996,OpenMower – An open source lawn mower,https://github.com/ClemensElflein/OpenMower,https://github.com/ClemensElflein/OpenMower,clemenselflein,openmower,repo,,
44945113,Show HN: Strix - Open-source AI hackers for your apps,https://github.com/usestrix/strix,https://github.com/usestrix/strix,usestrix,strix,repo,,
44945008,"Tiny-tpu: A minimal tensor processing unit (TPU), inspired by Google's TPU",https://github.com/tiny-tpu-v2/tiny-tpu,https://github.com/tiny-tpu-v2/tiny-tpu,tiny-tpu-v2,tiny-tpu,repo,,
44944787,A continuous stream of vintage computing artifacts from the Internet Archive,https://github.com/jgbrwn/retro-computing-stream,https://github.com/jgbrwn/retro-computing-stream,jgbrwn,retro-computing-stream,repo,,
44942731,"Show HN: Whispering – Open-source, local-first dictation you can trust",https://github.com/epicenter-so/epicenter/tree/main/apps/whispering,https://github.com/epicenter-so/epicenter/tree/main/apps/whispering,epicenter-so,epicenter,tree,,
44941546,Benchmarks for Golang SQLite Drivers,https://github.com/cvilsmeier/go-sqlite-bench,https://github.com/cvilsmeier/go-sqlite-bench,cvilsmeier,go-sqlite-bench,repo,,
44941043,Show HN: Memori – Open-Source Memory Engine for AI Agents,https://github.com/GibsonAI/memori,https://github.com/GibsonAI/memori,gibsonai,memori,repo,,
44940974,Show HN: A Minimal Hacker News Reader for Apple Watch Built with SwiftUI,https://github.com/wieslawsoltes/HackerNewsWatch,https://github.com/wieslawsoltes/HackerNewsWatch,wieslawsoltes,hackernewswatch,repo,,
44940485,FFmpeg Assembly Language Lessons,https://github.com/FFmpeg/asm-lessons,https://github.com/FFmpeg/asm-lessons,ffmpeg,asm-lessons,repo,,
44940089,Vibe coding tips and tricks,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md,awslabs,mcp,blob,,
44939874,"Show HN: Strudel Flow, a pattern sequencer built with Strudel and React Flow",https://github.com/xyflow/strudel-flow,https://github.com/xyflow/strudel-flow,xyflow,strudel-flow,repo,,
44939873,Show HN: Typed-arrow – compile‑time Arrow schemas for Rust,https://github.com/tonbo-io/typed-arrow,https://github.com/tonbo-io/typed-arrow,tonbo-io,typed-arrow,repo,,
44939642,Universal Tool Calling Protocol (UTCP),https://github.com/universal-tool-calling-protocol/python-utcp,https://github.com/universal-tool-calling-protocol/python-utcp,universal-tool-calling-protocol,python-utcp,repo,,
44938718,Fast and observable background job processing for .NET,https://github.com/mikasjp/BusyBee,https://github.com/mikasjp/BusyBee,mikasjp,busybee,repo,,
44938667,Rails Charts Using ECharts from Apache,https://github.com/railsjazz/rails_charts,https://github.com/railsjazz/rails_charts,railsjazz,rails_charts,repo,,
44937978,"EloqKV, a distributed database with Redis compatible API (GPLv2 and AGPLv3)",https://github.com/eloqdata/eloqkv,https://github.com/eloqdata/eloqkv,eloqdata,eloqkv,repo,,
44937346,IMDB Terminal Browser,https://github.com/isene/IMDB,https://github.com/isene/IMDB,isene,imdb,repo,,
44936333,Mangle – a language for deductive database programming,https://github.com/google/mangle,https://github.com/google/mangle,google,mangle,repo,,
44935821,SQLite-HTTP-cache: SQLite Extension to cache HTTP requests,https://github.com/walterwanderley/sqlite-http-cache,https://github.com/walterwanderley/sqlite-http-cache,walterwanderley,sqlite-http-cache,repo,,
44935169,Llama-Scan: Convert PDFs to Text W Local LLMs,https://github.com/ngafar/llama-scan,https://github.com/ngafar/llama-scan,ngafar,llama-scan,repo,,
44934988,Show HN: A iOS Native Bluesky App,https://github.com/0xatrilla/LiquidSky,https://github.com/0xatrilla/LiquidSky,0xatrilla,liquidsky,repo,,
44934518,HN Search isn't ingesting new data since Friday,https://github.com/algolia/hn-search/issues/248,https://github.com/algolia/hn-search/issues/248,algolia,hn-search,issues,,
44934391,Show HN: Doxx – Terminal .docx viewer inspired by Glow,https://github.com/bgreenwell/doxx,https://github.com/bgreenwell/doxx,bgreenwell,doxx,repo,,
44933435,iOS 18.5 Bluetooth Privacy Vulnerabilities,https://github.com/JGoyd/iOS-18.5-Bluetooth-Privacy-Vuln,https://github.com/JGoyd/iOS-18.5-Bluetooth-Privacy-Vuln,jgoyd,ios-18.5-bluetooth-privacy-vuln,repo,,
44932624,MS-DOS development resources,https://github.com/SuperIlu/DOSDevelResources/blob/main/README.md,https://github.com/SuperIlu/DOSDevelResources/blob/main/README.md,superilu,dosdevelresources,blob,,
44931753,Show HN: Chatbang – Access ChatGPT from the terminal without an API key,https://github.com/ahmedhosssam/chatbang,https://github.com/ahmedhosssam/chatbang,ahmedhosssam,chatbang,repo,,
44928997,Wan – Open-source alternative to VEO 3,https://github.com/Wan-Video/Wan2.2,https://github.com/Wan-Video/Wan2.2,wan-video,wan2.2,repo,,
44925853,A Lisp in 99LOC,https://github.com/Robert-van-Engelen/tinylisp,https://github.com/Robert-van-Engelen/tinylisp,robert-van-engelen,tinylisp,repo,,
44925597,Show HN: Lue – Terminal eBook Reader with Text-to-Speech,https://github.com/superstarryeyes/lue,https://github.com/superstarryeyes/lue,superstarryeyes,lue,repo,,
44925333,UWU – generate CLI commands without leaving the terminal,https://github.com/context-labs/uwu,https://github.com/context-labs/uwu,context-labs,uwu,repo,,
44922859,Show HN: Code-snippets for developing eBPF Programs,https://github.com/h0x0er/ebpf-snippets,https://github.com/h0x0er/ebpf-snippets,h0x0er,ebpf-snippets,repo,,
44922556,PG Auto Upgrade – Docker (and K8s) container to auto upgrade your database,https://github.com/pgautoupgrade/docker-pgautoupgrade,https://github.com/pgautoupgrade/docker-pgautoupgrade,pgautoupgrade,docker-pgautoupgrade,repo,,
44921674,DBCrust – A modern database CLI,https://github.com/clement-tourriere/dbcrust,https://github.com/clement-tourriere/dbcrust,clement-tourriere,dbcrust,repo,,
44921467,Guile bindings for Sway window manager,https://github.com/ebeem/guile-swayer,https://github.com/ebeem/guile-swayer,ebeem,guile-swayer,repo,,
44916908,Deploy Production-Ready Kubernetes on Hetzner Cloud,https://github.com/hcloud-k8s/terraform-hcloud-kubernetes,https://github.com/hcloud-k8s/terraform-hcloud-kubernetes,hcloud-k8s,terraform-hcloud-kubernetes,repo,,
44915220,Show HN: JMAP MCP – Email for your agents,https://github.com/wyattjoh/jmap-mcp,https://github.com/wyattjoh/jmap-mcp,wyattjoh,jmap-mcp,repo,,
44913930,Show HN: A Provably Zero Trust VPN,https://github.com/vpdotnet/vpnetd-sgx,https://github.com/vpdotnet/vpnetd-sgx,vpdotnet,vpnetd-sgx,repo,,
44911653,Libgit2 – The Git Linkable Library,https://github.com/libgit2/libgit2,https://github.com/libgit2/libgit2,libgit2,libgit2,repo,,
44911560,Vaultwarden commit introduces SSO using OpenID Connect,https://github.com/dani-garcia/vaultwarden/pull/3899,https://github.com/dani-garcia/vaultwarden/pull/3899,dani-garcia,vaultwarden,pull,,
44910671,Show HN: PgHook – Docker image that streams PostgreSQL row changes to webhooks,https://github.com/PgHookCom/PgHook,https://github.com/PgHookCom/PgHook,pghookcom,pghook,repo,,
44909599,Should we remove XSLT from the web platform?,https://github.com/whatwg/html/issues/11523,https://github.com/whatwg/html/issues/11523,whatwg,html,issues,,
44906985,Nvidia Tilus: A Tile-Level GPU Kernel Programming Language,https://github.com/NVIDIA/tilus,https://github.com/NVIDIA/tilus,nvidia,tilus,repo,,
